"selection3_name","selection3_url","selection3_selection4","selection3_selection4_url"
"BERENNIS Smart Light Bulb, A19 E26 RGBCW WiFi Dimmable Multicolor LED Lights, Compatible with Alexa, Google Home and IFTTT (No Hub Required) 7W (60w Equivalent) 3 Pack","https://www.amazon.com/BERENNIS-Dimmable-Multicolored-Required-Compatible/dp/B07GGWNQT7/ref=sr_1_4?keywords=smart+light&qid=1581484566&sr=8-4","$29.99
$29
.
99 ($10.00/Count)
$38.99
$38.99",""
"Smart WiFi Light Bulb with Soft White Light, TECKIN 16 Million RGB Color Changing LED Bulb That Work with Alexa, Google Home (No Hub Required), 7.5W (60w Equivalent),4 Pack","https://www.amazon.com/Multicolor-Compatible-Required-TECKIN-Equivalent/dp/B07GT3RXM6/ref=sr_1_5?keywords=smart+light&qid=1581484566&sr=8-5","$39.99
$39
.
99",""
"Smart WiFi Light Bulb, LED RGB Color Changing, Compatible with Alexa and Google Home Assistant, No Hub Required, A19 E26 Multicolor LUMIMAN 2 Pack","https://www.amazon.com/Changing-Compatible-Assistant-Multicolor-LUMIMAN/dp/B07DLSNNDS/ref=sr_1_6?keywords=smart+light&qid=1581484566&sr=8-6","$22.99
$22
.
99 ($11.50/Count)",""
"Smart WiFi Alexa Light Bulbs 2.4G, SAUDIO LED RGB Color Changing Bulbs, Compatible with Siri,Alexa,IFTTT and Google Home Assistant, No Hub Required, A19 E26 Multicolor 4 Pack","https://www.amazon.com/SAUDIO-Changing-Compatible-Assistant-Multicolor/dp/B07RX62616/ref=sr_1_7?keywords=smart+light&qid=1581484566&sr=8-7","$39.99
$39
.
99",""
"Smart Light Bulb, Works with Alexa, Echo, Google Home and Siri, AL Above Lights Dimmable E26 9W Wi-Fi LED Smart Bulb, Soft White (2700K), 60W Equivalent, 810 LM, RGB+W, ETL Listed - 1 Pack","https://www.amazon.com/AL-Above-Lights-Dimmable-Equivalent/dp/B07SN3MZM7/ref=sr_1_8?keywords=smart+light&qid=1581484566&sr=8-8","$13.99
$13
.
99",""
"Wyze Bulb 800 Lumen A19 LED Smart Home Light Bulb, Adjustable white temperature and brightness, works with Alexa and the Google Assistant, No Hub Required, 4-Pack","https://www.amazon.com/Wyze-Adjustable-temperature-brightness-Assistant/dp/B07RF9NCDP/ref=sr_1_9?keywords=smart+light&qid=1581484566&sr=8-9","$37.98
$37
.
98",""
"Gosund Smart Light Bulb Compatible with Alexa Google Home WiFi A19 E26 LED Dimmable Bulbs No Hub Required 2700K Warm White 8W Lights 75W Equivalent Lighting 2pack","https://www.amazon.com/Gosund-Dimmable-Required-Equivalent-Lighting/dp/B082X4QTKJ/ref=sr_1_10?keywords=smart+light&qid=1581484566&sr=8-10","$16.99
$16
.
99",""
"Smart Light Bulbs E12 Base LED Candelabra Bulbs, Color Changing and Dimmable, Compatible with Alexa Google Home IFTTT, Tunable White Chandelier Light Bulbs 320 lm 35w Equivalent, 4 Pack","https://www.amazon.com/Candelabra-Changing-Compatible-Chandelier-Equivalent/dp/B07WGL5L8Q/ref=sr_1_11?keywords=smart+light&qid=1581484566&sr=8-11","$39.99
$39
.
99",""
"Smart Light Bulbs, Aoycocr BR30 Dimmable LED Light Bulbs, 720 Lumen, Tunable White 2700K - 9000K,9 (80W Equivalent) No Hub Required, Wi-Fi, E26 Base (4 Pack)","https://www.amazon.com/Smart-Light-Aoycocr-Dimmable-Tunable/dp/B07VCRJ9ZM/ref=sr_1_12?keywords=smart+light&qid=1581484566&sr=8-12","$52.99
$52
.
99",""
"Smart Light Bulbs,TECKIN LED RGB Color Changing,E27 100W 1300LM Equivalent Compatible with Alexa and Google Home,IFTTT,2900K-6000K BR30 WiFi Light Blubs(13W),4 Pack","https://www.amazon.com/TECKIN-Changing-Equivalent-Compatible-2900K-6000K/dp/B07ZFSW1YJ/ref=sr_1_13?keywords=smart+light&qid=1581484566&sr=8-13","$69.99
$69
.
99",""
"Smart Light Bulb Compatible with Alexa Google Home, NiteBird A19 E26 WiFi Dimmable Warm White 2700K LED Lights Bulbs, 75W Equivalent, No Hub Required, 2 Pack","https://www.amazon.com/Compatible-NiteBird-Dimmable-Equivalent-Required/dp/B082DWK146/ref=sr_1_14?keywords=smart+light&qid=1581484566&sr=8-14","$16.99
$16
.
99",""
"Kasa Smart Light Switch by TP-Link – Needs Neutral Wire, WiFi Light Switch, Works with Alexa & Google (HS200) White 1-Pack","https://www.amazon.com/Kasa-Smart-Light-Switch-TP-Link/dp/B01EZV35QU/ref=sr_1_15?keywords=smart+light&qid=1581484566&sr=8-15","$19.99
$19
.
99",""
"Smart Light Bulb Compatible with Alexa Google Home, NiteBird A19 E26 Wifi Dimmable Warm White 2700K LED Lights Bulbs, 75W Equivalent, No Hub Required, 4 Pack","https://www.amazon.com/Compatible-NiteBird-Dimmable-Equivalent-Required/dp/B081SWYGTT/ref=sr_1_16?keywords=smart+light&qid=1581484566&sr=8-16","$31.99
$31
.
99",""
"Philips Hue White A19 LED Smart Bulb, Bluetooth & Zigbee compatible (Hue Hub Optional), Works with Alexa & Google Assistant – A Certified for Humans Device","https://www.amazon.com/Philips-Hue-Bluetooth-compatible-Assistant/dp/B07QV9XLTK/ref=sr_1_17?keywords=smart+light&qid=1581484566&sr=8-17","$14.97
$14
.
97",""
"Light Bulb Camera,Include 16GB Card 1080P WiFi Security Camera, 2MP Wireles IP LED Cam,360 Degrees Panoramic VR Indoor/Outdoor Home Surveillance Cameras,Motion Detection/Night Vision/Alarm","https://www.amazon.com/Include-Security-Panoramic-Surveillance-Detection/dp/B082S9PBHK/ref=sr_1_18?keywords=smart+light&qid=1581484566&sr=8-18","$32.99
$32
.
99",""
"Treatlife Smart Light Switch（Neutral Wire Required), 2.4Ghz Wi-Fi Light Switch, Works with Alexa and Google Assistant, Schedule, Remote Control, Single Pole, ETL Listed (4 PACK)","https://www.amazon.com/Treatlife-Smart-Light-Switch-Assistant/dp/B07R4MFWCQ/ref=sr_1_19?keywords=smart+light&qid=1581484566&sr=8-19","$59.99
$59
.
99",""
"Amazon Smart Plug, works with Alexa – A Certified for Humans Device","https://www.amazon.com/Amazon-Smart-Plug-works-Alexa/dp/B01MZEEFNX/ref=sr_1_20?keywords=smart+light&qid=1581484566&sr=8-20","$24.99
$24
.
99",""
"Smart Light Bulb WiFi Light Bulbs,TECKIN 13W E27 RGBCW Multicolor Dimmable LED Color Changing Light Bulb Equivalent 100W,1300LM BR30 Compatible with Alexa and Google Home IFTTT 2900K-6000K 2 Packs","https://www.amazon.com/TECKIN-Multicolor-Equivalent-Compatible-2900K-6000K/dp/B07Z8X6VQZ/ref=sr_1_21?keywords=smart+light&qid=1581484566&sr=8-21","$37.99
$37
.
99",""
"3-way Smart Light Switch, Neutral Wire Required, Treatlife WiFi Light Switch Single Pole/3-way Switch Works With Alexa, Google Assistant, Remote Control, ETL, Schedule, 1 PACK","https://www.amazon.com/Treatlife-Assistant-Control-Schedule-Required/dp/B07V4X7BRT/ref=sr_1_22?keywords=smart+light&qid=1581484566&sr=8-22","$27.99
$27
.
99",""
"Smart Light Bulb Alexa LED Color Changing Light Bulbs,TECKIN A19 E27 60W 800LM Equivalent Compatible with Google Home,IFTTT,2800K-6000K Cold and Warm Light WiFi Blubs(7.5W),2pack","https://www.amazon.com/Changing-TECKIN-Equivalent-Compatible-2800K-6000K/dp/B07ZJHKC8W/ref=sr_1_23?keywords=smart+light&qid=1581484566&sr=8-23","$24.58
$24
.
58",""
"Smart Alexa Light Bulbs, SAUDIO WiFi LED Bulbs RGB Color Changing Bulbs, Compatible with Siri,Alexa,IFTTT and Google Home Assistant, No Hub Required, A19 E26 Multicolor 2 Pack","https://www.amazon.com/SAUDIO-Changing-Compatible-Assistant-Multicolor/dp/B082WT4CPW/ref=sr_1_24?keywords=smart+light&qid=1581484566&sr=8-24","$19.99
$19
.
99",""
"OHLUX Smart WiFi LED Light Bulbs Compatible with Alexa Google Home and IFTTT(No Hub Required), RGBCW Multi-Color, Warm to Cool White Dimmable, 60W Equivalent, 7W E26 A19 Color Changing Bulb-4PACK","https://www.amazon.com/OHLUX-Compatible-Equivalent-Multi-Color-Bulb-4PACK/dp/B07LCB3HQJ/ref=sr_1_25?keywords=smart+light&qid=1581484566&sr=8-25","$39.99
$39
.
99",""
